code,start_frame,end_frame,name,minutes_from_hbg
01-HBG,0922,2003,Honoré-Beaugrand,0
02-RAD,0100,1145,Radisson,1
03-LGL,0145,1209,Langelier,2
04-CDL,0081,1131,Cadillac,4
05-ASM,0080,1128,Assomption,5
06-VIA,0128,1212,Viau,6
07-PIX,0076,1138,Pie-IX,8
08-JLT,0089,1158,Joliette,9
09-PFN,0114,1173,Préfontaine,10
10-FNC,0077,1172,Frontenac,12
11-PPN,0135,1206,Papineau,14
12-BDR,0100,1224,Beaudry,15
13-BUQ,0073,1204,Berri-UQAM,16
14-STL,0096,1167,Saint-Laurent,17
15-PDA,0100,1207,Place-des-Arts,18
16-MCG,0115,1244,McGill,19
17-PEL,0076,1174,Peel,20
18-GCC,0100,1205,Guy-Concordia,22
19-AWT,0078,1185,Atwater,23
20-LGR,0075,1148,Lionel-Groulx,25
21-CVX,0115,1197,Charlevoix,27
22-LSL,0110,1171,Lasalle,28
23-DLG,0075,1210,De l'Église,29
24-VRD,0085,1159,Verdun,31
25-JLC,0095,1141,Jolicoeur,32
26-MNK,0115,1174,Monk,34
27-ANG,0110,1149,Angrignon,35